Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,Manufacturer,City
CA-2020-00000,2020-01-01 00:00:00.000000000,First Class,CUST-0000,Customer 0,Home Office,New York,Technology,Accessories,142.1,5,0.01,-11.35,East,Apple,Rochester
CA-2020-00001,2020-01-01 17:31:43.551775887,First Class,CUST-0001,Customer 1,Corporate,Florida,Technology,Phones,237.56,8,0.17,-33.76,South,Apple,Orlando
CA-2020-00002,2020-01-02 11:03:27.103551775,Standard Class,CUST-0002,Customer 2,Corporate,Florida,Office Supplies,Storage,96.12,1,0.43,130.75,South,Microsoft,Orlando
CA-2020-00003,2020-01-03 04:35:10.655327663,Same Day,CUST-0003,Customer 3,Corporate,Florida,Office Supplies,Binders,149.54,2,0.44,-4.25,South,Microsoft,Miami
CA-2020-00004,2020-01-03 22:06:54.207103551,Same Day,CUST-0004,Customer 4,Corporate,Florida,Furniture,Furnishings,490.28,9,0.29,82.0,South,Apple,Miami
CA-2020-00005,2020-01-04 15:38:37.758879439,Standard Class,CUST-0005,Customer 5,Corporate,Florida,Technology,Phones,428.63,1,0.44,33.89,South,Dell,Tampa
CA-2020-00006,2020-01-05 09:10:21.310655327,Standard Class,CUST-0006,Customer 6,Consumer,Florida,Furniture,Furnishings,210.19,2,0.48,-94.26,South,Samsung,Orlando
CA-2020-00007,2020-01-06 02:42:04.862431215,First Class,CUST-0007,Customer 7,Consumer,Texas,Technology,Machines,176.76,2,0.48,-38.75,Central,Microsoft,Austin
CA-2020-00008,2020-01-06 20:13:48.414207103,Standard Class,CUST-0008,Customer 8,Home Office,Illinois,Technology,Accessories,51.46,9,0.3,53.75,Central,Dell,Chicago
CA-2020-00009,2020-01-07 13:45:31.965982991,Second Class,CUST-0009,Customer 9,Corporate,Florida,Technology,Phones,274.41,2,0.46,114.35,South,Samsung,Miami
CA-2020-00010,2020-01-08 07:17:15.517758879,Same Day,CUST-0010,Customer 10,Consumer,Florida,Office Supplies,Labels,39.94,8,0.02,140.51,South,Samsung,Orlando
CA-2020-00011,2020-01-09 00:48:59.069534767,Standard Class,CUST-0011,Customer 11,Corporate,New York,Office Supplies,Binders,404.07,2,0.33,-50.84,East,HP,Rochester
CA-2020-00012,2020-01-09 18:20:42.621310655,Same Day,CUST-0012,Customer 12,Consumer,California,Furniture,Furnishings,270.97,3,0.19,-47.42,West,Lenovo,San Diego
CA-2020-00013,2020-01-10 11:52:26.173086543,First Class,CUST-0013,Customer 13,Home Office,California,Office Supplies,Labels,101.45,3,0.02,161.81,West,Apple,Los Angeles
CA-2020-00014,2020-01-11 05:24:09.724862431,Second Class,CUST-0014,Customer 14,Home Office,Florida,Technology,Copiers,346.2,8,0.27,128.83,South,Dell,Tampa
CA-2020-00015,2020-01-11 22:55:53.276638319,Standard Class,CUST-0015,Customer 15,Corporate,Florida,Office Supplies,Labels,406.69,3,0.1,139.19,South,Lenovo,Miami
CA-2020-00016,2020-01-12 16:27:36.828414207,Standard Class,CUST-0016,Customer 16,Home Office,California,Furniture,Chairs,379.66,6,0.21,97.22,West,Dell,Los Angeles
CA-2020-00017,2020-01-13 09:59:20.380190095,Same Day,CUST-0017,Customer 17,Consumer,California,Technology,Phones,210.83,4,0.07,54.7,West,HP,San Francisco
CA-2020-00018,2020-01-14 03:31:03.931965983,First Class,CUST-0018,Customer 18,Consumer,Illinois,Office Supplies,Binders,180.59,2,0.31,-41.36,Central,Samsung,Naperville
CA-2020-00019,2020-01-14 21:02:47.483741871,Same Day,CUST-0019,Customer 19,Home Office,Illinois,Furniture,Chairs,395.19,5,0.46,163.42,Central,Apple,Chicago
CA-2020-00020,2020-01-15 14:34:31.035517759,Standard Class,CUST-0020,Customer 20,Home Office,Florida,Furniture,Chairs,171.43,5,0.46,7.98,South,Lenovo,Tampa
CA-2020-00021,2020-01-16 08:06:14.587293646,First Class,CUST-0021,Customer 21,Home Office,Texas,Office Supplies,Paper,14.34,2,0.22,144.18,Central,HP,Austin
CA-2020-00022,2020-01-17 01:37:58.139069534,Standard Class,CUST-0022,Customer 22,Home Office,Illinois,Office Supplies,Labels,51.74,8,0.12,-10.87,Central,Samsung,Chicago
CA-2020-00023,2020-01-17 19:09:41.690845422,First Class,CUST-0023,Customer 23,Consumer,Texas,Furniture,Tables,233.78,3,0.2,51.76,Central,Lenovo,Houston
CA-2020-00024,2020-01-18 12:41:25.242621310,Standard Class,CUST-0024,Customer 24,Corporate,New York,Office Supplies,Storage,296.09,6,0.36,27.17,East,Lenovo,New York City
CA-2020-00025,2020-01-19 06:13:08.794397198,First Class,CUST-0025,Customer 25,Home Office,Illinois,Technology,Phones,473.51,2,0.29,110.46,Central,Dell,Naperville
CA-2020-00026,2020-01-19 23:44:52.346173086,Standard Class,CUST-0026,Customer 26,Home Office,Florida,Furniture,Tables,130.7,5,0.0,-41.3,South,HP,Orlando
CA-2020-00027,2020-01-20 17:16:35.897948974,First Class,CUST-0027,Customer 27,Consumer,California,Technology,Accessories,437.75,9,0.37,-38.02,West,Lenovo,San Francisco
CA-2020-00028,2020-01-21 10:48:19.449724862,First Class,CUST-0028,Customer 28,Home Office,New York,Technology,Accessories,18.56,3,0.39,8.49,East,Lenovo,Buffalo
CA-2020-00029,2020-01-22 04:20:03.001500750,Second Class,CUST-0029,Customer 29,Home Office,New York,Furniture,Bookcases,423.72,4,0.29,-91.36,East,Lenovo,Rochester
